Time, Open, High, Low, Close, Volume
1574899200, 0.046930, 0.048280, 0.045100, 0.045910, 10099473.017883
1574985600, 0.045910, 0.058800, 0.045380, 0.055380, 27878155.510233
1575072000, 0.055390, 0.058080, 0.049670, 0.051640, 14578738.499428
1575158400, 0.051660, 0.054890, 0.049650, 0.052390, 10526016.169094
1575244800, 0.052400, 0.054500, 0.050720, 0.051690, 7200530.247403
1575331200, 0.051710, 0.052770, 0.050730, 0.052130, 4791417.684639
1575417600, 0.052130, 0.053140, 0.050250, 0.051800, 9377101.182868
1575504000, 0.051800, 0.052560, 0.051020, 0.051880, 2419910.567776
1575590400, 0.051890, 0.052150, 0.050610, 0.051620, 3199219.957233
1575676800, 0.051640, 0.053010, 0.051040, 0.051840, 5284778.623453
1575763200, 0.051830, 0.051890, 0.050230, 0.050810, 4458150.253770
1575849600, 0.050830, 0.052300, 0.048510, 0.050620, 6214887.650903
1575936000, 0.050630, 0.051010, 0.042850, 0.046480, 5825409.152710
1576022400, 0.046510, 0.051600, 0.044280, 0.048030, 6859025.446098
1576108800, 0.048040, 0.048570, 0.045010, 0.046170, 4108173.565363
1576195200, 0.046180, 0.047500, 0.045530, 0.046100, 2384388.380852
1576281600, 0.046100, 0.047120, 0.043860, 0.045080, 12118499.925052
1576368000, 0.045090, 0.045670, 0.044520, 0.045290, 2014807.257691
1576454400, 0.045300, 0.045300, 0.040100, 0.041970, 5491422.980155
1576540800, 0.041980, 0.043060, 0.037140, 0.038540, 7711855.353980
1576627200, 0.038530, 0.042000, 0.035410, 0.040480, 7970914.411396
1576713600, 0.040470, 0.040860, 0.038290, 0.038990, 3767735.909931
1576800000, 0.039010, 0.039280, 0.037160, 0.037970, 3669339.474077
1576886400, 0.037970, 0.038220, 0.036500, 0.037010, 3380178.382948
1576972800, 0.037060, 0.038460, 0.036350, 0.038130, 4081557.896251
1577059200, 0.038120, 0.039390, 0.037170, 0.037340, 5407282.583089
1577145600, 0.037370, 0.037550, 0.035720, 0.036550, 4562254.274467
1577232000, 0.036570, 0.037080, 0.035500, 0.035840, 2101232.699126
1577318400, 0.035880, 0.038400, 0.035580, 0.035700, 5088722.992147
1577404800, 0.035700, 0.037260, 0.035600, 0.036290, 2778251.410443
1577491200, 0.036290, 0.037250, 0.035940, 0.036810, 1882854.438891
1577577600, 0.036840, 0.037610, 0.036110, 0.037020, 2520159.932829
1577664000, 0.036990, 0.037340, 0.035900, 0.036700, 4108855.305759
1577750400, 0.036720, 0.038290, 0.036580, 0.038150, 3188205.874494
1577836800, 0.038160, 0.050800, 0.038160, 0.046930, 22769632.453212
1577923200, 0.046970, 0.056990, 0.043940, 0.049180, 44003390.831987
1578009600, 0.049090, 0.051160, 0.045750, 0.049680, 18118050.453097
1578096000, 0.049940, 0.060000, 0.048100, 0.057790, 25818015.271247
1578182400, 0.057790, 0.082690, 0.057790, 0.074080, 65711334.341302
1578268800, 0.074480, 0.078710, 0.067420, 0.072000, 39510178.541213
1578355200, 0.071990, 0.074700, 0.060000, 0.065250, 34572055.384649
1578441600, 0.065250, 0.066830, 0.061150, 0.061880, 13949787.797918
1578528000, 0.061960, 0.063000, 0.054340, 0.057580, 22946592.959529
1578614400, 0.057550, 0.063640, 0.057480, 0.061580, 12358346.360964
1578700800, 0.061580, 0.064810, 0.059200, 0.060750, 12189190.614998
1578787200, 0.060720, 0.062290, 0.059010, 0.060730, 5968762.908883
1578873600, 0.060790, 0.061460, 0.058620, 0.059490, 3326275.405202
1578960000, 0.059460, 0.079330, 0.059010, 0.079330, 17065706.618702
1579046400, 0.079320, 0.080760, 0.065120, 0.070150, 18574630.660645
1579132800, 0.070180, 0.070900, 0.065120, 0.069150, 5556367.588830
1579219200, 0.068930, 0.073450, 0.067880, 0.070800, 5861267.473331
1579305600, 0.070470, 0.074300, 0.070180, 0.071890, 5665578.068425
1579392000, 0.071860, 0.072270, 0.063930, 0.068350, 5650063.322218
1579478400, 0.068320, 0.071350, 0.066170, 0.069750, 3040045.692322
1579564800, 0.069730, 0.069920, 0.067000, 0.068880, 1638421.851512
1579651200, 0.068890, 0.069600, 0.067150, 0.069070, 1801811.991550
1579737600, 0.069060, 0.069090, 0.062850, 0.063060, 2943351.552482
1579824000, 0.063090, 0.068500, 0.063090, 0.067170, 2938509.077367
1579910400, 0.067130, 0.069280, 0.065060, 0.066750, 2118983.959796
1579996800, 0.066720, 0.070600, 0.066110, 0.069370, 2200738.167848
1580083200, 0.069400, 0.072000, 0.069110, 0.071410, 3946179.677985
1580169600, 0.071400, 0.076420, 0.069600, 0.074010, 7627227.199939
1580256000, 0.074040, 0.094269, 0.072480, 0.088790, 24760103.339772
1580342400, 0.088710, 0.105000, 0.086700, 0.098260, 34544058.163191
1580428800, 0.098250, 0.099160, 0.085710, 0.090850, 12451885.076739
1580515200, 0.090910, 0.095240, 0.087640, 0.092310, 7245807.765304
1580601600, 0.092360, 0.093900, 0.086880, 0.089740, 9816804.573864
1580688000, 0.089770, 0.093480, 0.083990, 0.087700, 6122772.629403
1580774400, 0.087700, 0.089520, 0.080020, 0.085420, 7540477.098720
1580860800, 0.085450, 0.092140, 0.085010, 0.090400, 6186671.652270
1580947200, 0.090410, 0.094600, 0.088500, 0.091700, 6165214.754361
1581033600, 0.091670, 0.094000, 0.088000, 0.092170, 7480578.798078
1581120000, 0.092160, 0.094870, 0.088700, 0.092020, 7686849.539766
1581206400, 0.092050, 0.112480, 0.091420, 0.107000, 22739584.945566
1581292800, 0.107190, 0.117585, 0.097080, 0.108950, 24261224.176124
1581379200, 0.109010, 0.112000, 0.103000, 0.111450, 11257042.051032
1581465600, 0.111450, 0.169000, 0.111450, 0.162000, 41615608.590025
1581552000, 0.161950, 0.177120, 0.142850, 0.159470, 39229284.796591
1581638400, 0.159430, 0.159470, 0.144970, 0.152370, 11715879.364213
1581724800, 0.151270, 0.153820, 0.115000, 0.121830, 25515968.033698
1581811200, 0.120720, 0.148910, 0.118830, 0.139090, 27213133.511813
1581897600, 0.138500, 0.149970, 0.124440, 0.145560, 19495726.848629
1581984000, 0.146810, 0.173900, 0.141410, 0.159900, 49339636.197772
1582070400, 0.159900, 0.164280, 0.143000, 0.146980, 17441006.377602
1582156800, 0.146980, 0.154760, 0.138000, 0.147090, 12459600.385421
1582243200, 0.147250, 0.150000, 0.122280, 0.135300, 13774205.246459
1582329600, 0.134990, 0.138450, 0.125130, 0.132660, 9855392.123360
1582416000, 0.132240, 0.150000, 0.131420, 0.145720, 13566597.149563
1582502400, 0.145450, 0.147990, 0.135720, 0.141430, 9095010.340016
1582588800, 0.141400, 0.142500, 0.125000, 0.129400, 9871959.846401
1582675200, 0.130260, 0.135500, 0.113000, 0.122620, 18046904.758889
1582761600, 0.121990, 0.131630, 0.118000, 0.124180, 9967207.607979
1582848000, 0.125410, 0.129140, 0.117020, 0.121440, 8394545.879103
1582934400, 0.121520, 0.123530, 0.119010, 0.119630, 4296143.870665
1583020800, 0.119660, 0.125450, 0.072000, 0.098000, 24745171.058755
1583107200, 0.098000, 0.112980, 0.091940, 0.106390, 24840245.558775
1583193600, 0.107030, 0.107980, 0.097850, 0.101620, 10749494.123556
1583280000, 0.102480, 0.105570, 0.101170, 0.101820, 5650154.874008
1583366400, 0.102580, 0.109590, 0.102000, 0.105550, 6936833.291283
1583452800, 0.105550, 0.120800, 0.104090, 0.120700, 7383100.674109
1583539200, 0.120700, 0.128150, 0.108850, 0.111440, 12035360.573500
1583625600, 0.111560, 0.113410, 0.095000, 0.095150, 11710251.402373
1583712000, 0.095200, 0.102040, 0.077510, 0.088850, 27850098.445347
1583798400, 0.088970, 0.093090, 0.085000, 0.088880, 10785127.632230
1583884800, 0.088880, 0.090980, 0.082850, 0.089010, 7304057.871264
1583971200, 0.089010, 0.089880, 0.045140, 0.047350, 46977034.895433
1584057600, 0.047360, 0.060000, 0.025000, 0.055710, 57225003.768584
1584144000, 0.056020, 0.059030, 0.053450, 0.055340, 10875191.066439
1584230400, 0.055330, 0.061420, 0.054010, 0.058760, 7007970.477779
1584316800, 0.059170, 0.061280, 0.046500, 0.051710, 17570629.302860
1584403200, 0.051760, 0.057740, 0.051420, 0.057170, 6782309.314552
1584489600, 0.057300, 0.058320, 0.053140, 0.057140, 6171573.962342
1584576000, 0.057140, 0.068700, 0.056020, 0.063280, 13126206.246246
1584662400, 0.063280, 0.073870, 0.061550, 0.068400, 13151045.883365
1584748800, 0.068430, 0.070300, 0.063500, 0.066670, 5802590.752549
1584835200, 0.066700, 0.069990, 0.062000, 0.062020, 7152475.308294
1584921600, 0.062080, 0.068370, 0.059160, 0.066130, 7472123.302961
1585008000, 0.066140, 0.068560, 0.063850, 0.066360, 7572371.734739
1585094400, 0.066380, 0.067140, 0.064270, 0.065010, 3613129.344140
1585180800, 0.065060, 0.066530, 0.063450, 0.066380, 3588622.711656
1585267200, 0.066440, 0.067750, 0.063570, 0.063640, 3757591.804074
1585353600, 0.063650, 0.063700, 0.058760, 0.061260, 6206212.939065
1585440000, 0.061230, 0.061710, 0.056590, 0.057000, 2886584.519264
1585526400, 0.056610, 0.061570, 0.056040, 0.060970, 6247610.569220
1585612800, 0.060960, 0.061340, 0.058090, 0.060200, 5244544.032782
1585699200, 0.060170, 0.060650, 0.056420, 0.060300, 4043494.866788
1585785600, 0.060300, 0.062150, 0.057500, 0.060190, 6008279.114941
1585872000, 0.060190, 0.061630, 0.058410, 0.059480, 4029819.936421
1585958400, 0.059490, 0.061850, 0.059000, 0.061850, 2872242.294056
1586044800, 0.061630, 0.065710, 0.060420, 0.062820, 11310422.413393
1586131200, 0.062910, 0.070500, 0.062290, 0.070500, 8431289.844970
1586217600, 0.070500, 0.078650, 0.069450, 0.072600, 11963621.030250
1586304000, 0.072570, 0.077550, 0.068680, 0.074860, 8282832.321898
1586390400, 0.074890, 0.075710, 0.072650, 0.074580, 5198764.449088
1586476800, 0.074390, 0.074420, 0.066250, 0.068710, 9100833.542933
1586563200, 0.069010, 0.072650, 0.068770, 0.071320, 4999227.615656
1586649600, 0.071290, 0.075130, 0.069790, 0.072810, 5288196.830232
1586736000, 0.072850, 0.072930, 0.068310, 0.071080, 5269561.748874
1586822400, 0.071100, 0.073350, 0.070210, 0.071870, 4031802.355155
1586908800, 0.071870, 0.072770, 0.070330, 0.070480, 3423121.367182
1586995200, 0.070470, 0.074710, 0.069000, 0.073540, 6152591.557294
1587081600, 0.073560, 0.074280, 0.071830, 0.073200, 2935386.868204
1587168000, 0.073210, 0.077980, 0.072710, 0.077040, 4667285.956904
1587254400, 0.077030, 0.077990, 0.073610, 0.075370, 4180968.192299
1587340800, 0.075340, 0.077770, 0.073220, 0.073880, 5068767.391990
1587427200, 0.074410, 0.076660, 0.073050, 0.074540, 3153845.407499
1587513600, 0.074520, 0.077410, 0.073730, 0.076550, 3774491.924971
1587600000, 0.076570, 0.077930, 0.073750, 0.076460, 5595857.371780
1587686400, 0.076430, 0.077140, 0.075140, 0.076300, 3407420.895396
1587772800, 0.076310, 0.077150, 0.075480, 0.076410, 3316746.566596
1587859200, 0.076400, 0.085400, 0.075150, 0.081490, 7569302.161820
1587945600, 0.082040, 0.082930, 0.078000, 0.082560, 5096344.900741
1588032000, 0.082500, 0.084650, 0.079620, 0.083710, 3861439.339747
1588118400, 0.083720, 0.093110, 0.083150, 0.091280, 9214267.733831
1588204800, 0.091290, 0.102280, 0.088980, 0.092160, 12755815.170267
1588291200, 0.092230, 0.098900, 0.089900, 0.096730, 4671592.547737
1588377600, 0.096960, 0.098350, 0.095420, 0.097760, 2869011.350614
1588464000, 0.097730, 0.101590, 0.096550, 0.098930, 6129970.531552
1588550400, 0.098760, 0.098770, 0.088570, 0.095600, 5391840.804161
1588636800, 0.095610, 0.098350, 0.094650, 0.096940, 3279134.643851
1588723200, 0.096880, 0.097710, 0.093490, 0.093490, 3495429.583607
